Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
10850;Assumpció (Museu Nacional d'Art de Catalunya, inv 027148-G);Estampa;Francesc Torras Armengol;027148-G;268;20;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27558911
10851;Ataque de Agurdin;Estampa;;010417-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557977
10852;Ataque de Portugalete;Estampa;Q3751042;014420-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557763
10853;Atlas de África: «Acción del 1º de Enero de 1860 en los Castillejos»;Estampa;;027181-G;417;585;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557180
10854;Au amb el cap a la boca d'un gos;Estampa;anònim;006555-G;32;5;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27570734
10855;Auca de Poblet;Estampa;anònim;005963-G;;;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559033
10856;Auca: Oficis Barcelonesos;Estampa;anònim;006390-G;43;43;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27571149
10857;Auca: Oficis Barcelonesos (Museu Nacional d'Art de Catalunya, inv 006391-G);Estampa;anònim;006391-G;43;43;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27571157
10858;Auca: Oficis barcelones;Estampa;anònim;006394-G;43;43;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27571176
10859;Auca: Oficis barcelonesos;Estampa;anònim;006366-G;43;43;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27570997
10860;Auca: Oficis barcelonesos (Museu Nacional d'Art de Catalunya, inv 006367-G);Estampa;anònim;006367-G;43;43;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27571004
10861;Auca: Oficis barcelonesos (Museu Nacional d'Art de Catalunya, inv 006368-G);Estampa;anònim;006368-G;43;43;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27571009
10862;Auca: Oficis barcelonesos (Museu Nacional d'Art de Catalunya, inv 006369-G);Estampa;anònim;006369-G;43;43;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27571017
