Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
4218;Alt Llobregat;Pintura;Marià Pidelaserra i Brias;004073-000;;;Col·lecció d'Art Modern (MNAC);1914-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27512951
4220;Al·legoria de l'Exposició Universal de 1888;Pintura;Dionís Baixeras i Verdaguer;044340-000;;;Col·lecció d'Art Modern (MNAC);1888-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510736
4221;Al·legoria de l'Exposició Universal de 1888 (Museu Nacional d'Art de Catalunya, inv 044341-000);Pintura;Dionís Baixeras i Verdaguer;044341-000;;;Col·lecció d'Art Modern (MNAC);1888-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510752
4222;Al·legoria de la Primera Guerra Mundial;Pintura;Ismael Smith;050091-000;;;Col·lecció d'Art Modern (MNAC);1914-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511044
4223;Al·legoria del doctor Robert;Pintura;Aleix Clapés i Puig;011214-000;;;Col·lecció d'Art Modern (MNAC);1890-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27575773
4224;Al·legoria del doctor Robert (Museu Nacional d'Art de Catalunya, inv 011214-000);Pintura;Aleix Clapés i Puig;011214-000;;;Col·lecció d'Art Modern (MNAC);1890-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27575776
4225;Al·legoria. Espanya i els EUA en el descobriment d'Amèrica;Pintura;anònim;037843-000;;;Col·lecció d'Art Modern (MNAC);1888-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27508982
4226;Amor maternal;Pintura;Joan Cardona i Lladós;011462-000;;;Col·lecció d'Art Modern (MNAC);1914-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27512681
4227;Amparo;Pintura;Isidre Nonell i Monturiol;004657-000;;;Col·lecció d'Art Modern (MNAC);1904-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510850
4229;Arbreda (Museu Nacional d'Art de Catalunya, inv 011448-000);Pintura;Jaume Morera i Galícia;011448-000;;;Col·lecció d'Art Modern (MNAC);1880-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510755
4230;Arbres;Pintura;Joan Colom i Agustí;010260-000;;;Col·lecció d'Art Modern (MNAC);1912-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510979
4232;Arbres en flor;Pintura;Joaquim Vayreda i Vila;004253-000;;;Col·lecció d'Art Modern (MNAC);1892-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27512959
4233;Arbres i núvols;Pintura;Joan González i Pellicer;202524-000;;;Col·lecció d'Art Modern (MNAC);1900-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511752
4234;Assumpció;Pintura;Isidre Nonell i Monturiol;069040-000;;;Col·lecció d'Art Modern (MNAC);1910-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510888
4235;Autoretrat (Museu Nacional d'Art de Catalunya, inv 004037-000);Pintura;Ramon Casas i Carbó;004037-000;;;Col·lecció d'Art Modern (MNAC);1883-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27572262
4236;Autoretrat (Museu Nacional d'Art de Catalunya, inv 010025-000);Pintura;Ignasi Pinazo i Camarlench;010025-000;;;Col·lecció d'Art Modern (MNAC);1900-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27509780
4237;Autoretrat (Museu Nacional d'Art de Catalunya, inv 010687-000);Pintura;Josep Teixidor i Busquets;010687-000;;;Col·lecció d'Art Modern (MNAC);1892-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511089
4238;Autoretrat (Museu Nacional d'Art de Catalunya, inv 011061-000);Pintura;Joaquim Sorolla i Bastida;011061-000;;;Col·lecció d'Art Modern (MNAC);1897-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27572008
4239;Autoretrat (Museu Nacional d'Art de Catalunya, inv 011294-000);Pintura;Francesc Casanovas Gorchs;011294-000;;;Col·lecció d'Art Modern (MNAC);1910-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510869
4241;Autoretrat (Museu Nacional d'Art de Catalunya, inv 011396-000);Pintura;;011396-000;;;Col·lecció d'Art Modern (MNAC);1880-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510959
4242;Autoretrat (Museu Nacional d'Art de Catalunya, inv 011687-000);Pintura;Lluïsa Vidal;011687-000;;;Col·lecció d'Art Modern (MNAC);1899-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27571980
4243;Autoretrat (Museu Nacional d'Art de Catalunya, inv 039928-000);Pintura;Segundo Matilla i Marina;039928-000;;;Col·lecció d'Art Modern (MNAC);1907-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27571941
4244;Autoretrat (Museu Nacional d'Art de Catalunya, inv 040441-000);Pintura;Henry Lerolle;040441-000;;;Col·lecció d'Art Modern (MNAC);1903-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27508919
4245;Autoretrat (Museu Nacional d'Art de Catalunya, inv 043785-000);Pintura;Segundo Matilla i Marina;043785-000;;;Col·lecció d'Art Modern (MNAC);1907-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510760
