Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink;;;;;;;;;;
14375;February (Golf Calendar);Cartells;Edward Penfield;004336-C;41;286;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513054;;;;;;;;;;
14821;The Golfer's Alphabet;Cartells;Arthur Burdett Frost;004381-C;26;288;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Paper;;;http://www.wikidata.org/entity/Q27513056;;;;;;;;;;
14507;Johann Zehme;Cartells;Q16219477;004393-C;34;243;Secció de Cartells (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513057;;;;;;;;;;
14474;Harper's. September;Cartells;Edward Penfield;000474-C01;346;463;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513058;;;;;;;;;;
14145;A. Calderoni Gioielliere;Cartells;Adolf Hohenstein;000236-C;1642;966;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513060;;;;;;;;;;
14255;Chocolat Idéal;Cartells;Alfons Mucha;000078-C;86;578;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513062;;;;;;;;;;
14778;Sífilis;Cartells;Ramon Casas i Carbó;000360-C;80;343;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513063;;;;;;;;;;
14830;The Inland Printer. July, 1894;Cartells;William Henry Bradley;004296-C;314;237;Secció de Cartells (MNAC);1894;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513065;;;;;;;;;;
14469;Harper's. August;Cartells;Edward Penfield;004382-C;328;264;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513067;;;;;;;;;;
14575;May (Golf Calendar);Cartells;Edward Penfield;004341-C;456;247;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513070;;;;;;;;;;
