Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3714;Coronació de la Verge;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Escorca;http://www.wikidata.org/entity/Q26835941
3715;Creu 183;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835942
3716;Crist a la Creu;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Collbató;http://www.wikidata.org/entity/Q26835783
3717;Crist a la Creu 207;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Terrassa;http://www.wikidata.org/entity/Q26835953
3718;Crist a la Creu 207a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Manresa;http://www.wikidata.org/entity/Q26835952
3719;Crist a la Creu 207b;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Sitges;http://www.wikidata.org/entity/Q26835950
3720;Crist a la Creu 207c;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Olot;http://www.wikidata.org/entity/Q26835954
3721;Crist a la Creu 207d;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Figueres;http://www.wikidata.org/entity/Q26835956
3722;Crist a la Creu 41a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Monistrol de Montserrat;http://www.wikidata.org/entity/Q26835944
3723;Crist a la Creu 41b;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835945
3724;Crist a la Creu 41c;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835949
3725;Crist a la Creu 41d;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835947
3726;Crist a la Creu 41e;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835946
3727;Crist a la Creu 41f;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Pamplona;http://www.wikidata.org/entity/Q26835943
3728;Crist a la Creu amb Sant Joan i la Verge Maria;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835957
3729;Crist jacent;Escultura;Venanci Vallmitjana i Barbany;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q23813331
3730;Crist ressucitat;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Collbató;http://www.wikidata.org/entity/Q26835778
3731;Crucifixió 112;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Escorca;http://www.wikidata.org/entity/Q26835959
3732;Cástor Cañedo (Museu d'Art Modern de Tarragona, inv 3047);Escultura;Julio Antonio;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24256958
3733;Daniel;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Monistrol de Montserrat;http://www.wikidata.org/entity/Q26835961
